device_id,industry,device_type,connectivity_type,sim_type,country,city,site_name,latitude,longitude
BICS-AGR-00001,Agriculture,Weather Station,5G,iSIM,Belgium,Hasselt,Limburg Orchards,50.94875,5.347836
BICS-AGR-00002,Agriculture,Weather Station,LTE-M,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.656282,5.808062
BICS-AGR-00003,Agriculture,Livestock Tracker,4G,Traditional SIM,Belgium,Kortrijk,Leie Valley Agriculture,50.821439,3.255492
BICS-AGR-00004,Agriculture,Weather Station,NB-IoT,eSIM,Belgium,Leuven,Brabant Research Farm,50.88996,4.681313
BICS-AGR-00005,Agriculture,Weather Station,NB-IoT,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.709533,5.81522
BICS-AGR-00006,Agriculture,Livestock Tracker,LTE-M,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.689434,5.843025
BICS-AGR-00007,Agriculture,GPS Tractor Tracker,NB-IoT,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.677526,5.825781
BICS-AGR-00008,Agriculture,Soil Moisture Sensor,4G,eSIM,Belgium,Namur,Wallonia Grain Belt,50.454246,4.856084
BICS-AGR-00009,Agriculture,Soil Moisture Sensor,NB-IoT,eSIM,Belgium,Namur,Wallonia Grain Belt,50.460466,4.869102
BICS-AGR-00010,Agriculture,Irrigation Controller,4G,eSIM,Belgium,Namur,Wallonia Grain Belt,50.450105,4.862007
BICS-AGR-00011,Agriculture,Greenhouse Climate Sensor,NB-IoT,iSIM,Belgium,Hasselt,Limburg Orchards,50.910853,5.349925
BICS-AGR-00012,Agriculture,Livestock Tracker,NB-IoT,Traditional SIM,Belgium,Namur,Wallonia Grain Belt,50.471311,4.835329
BICS-AGR-00013,Agriculture,GPS Tractor Tracker,NB-IoT,Traditional SIM,Belgium,Namur,Wallonia Grain Belt,50.485407,4.885113
BICS-AGR-00014,Agriculture,Soil Moisture Sensor,NB-IoT,iSIM,Belgium,Hasselt,Limburg Orchards,50.935255,5.343037
BICS-AGR-00015,Agriculture,Weather Station,4G,eSIM,Belgium,Arlon,Luxembourg Province Dairy,49.683521,5.820364
BICS-AGR-00016,Agriculture,Livestock Tracker,LTE-M,iSIM,Belgium,Leuven,Brabant Research Farm,50.887433,4.679784
BICS-AGR-00017,Agriculture,GPS Tractor Tracker,LTE-M,iSIM,Belgium,Bruges,West Flanders Farmlands,51.216219,3.217176
BICS-AGR-00018,Agriculture,GPS Tractor Tracker,NB-IoT,eSIM,Belgium,Leuven,Brabant Research Farm,50.883618,4.71435
BICS-AGR-00019,Agriculture,GPS Tractor Tracker,4G,Traditional SIM,Belgium,Bruges,West Flanders Farmlands,51.235653,3.210665
BICS-AGR-00020,Agriculture,Livestock Tracker,LTE-M,eSIM,Belgium,Kortrijk,Leie Valley Agriculture,50.829337,3.269687
